,age,Medu,Fedu,failures,traveltime,studytime,Dalc,Walc,absences,Final_grade,goout,famrel,guardian,Mjob,Fjob,sex,Pstatus,romantic
0,18,4,4,0,2,2,1,1,6,6,4,4,mother,at_home,teacher,F,A,no
1,17,1,1,0,1,2,1,1,4,6,3,5,father,at_home,other,F,T,no
2,15,1,1,3,1,2,2,3,10,10,2,4,mother,at_home,other,F,T,no
3,15,4,2,0,1,3,1,1,2,15,2,3,mother,health,services,F,T,yes
4,16,3,3,0,1,2,1,2,4,10,2,4,father,other,other,F,T,no
5,16,4,3,0,1,2,1,2,10,15,2,5,mother,services,other,M,T,no
6,16,2,2,0,1,2,1,1,0,11,4,4,mother,other,other,M,T,no
7,17,4,4,0,2,2,1,1,6,6,4,4,mother,other,teacher,F,A,no
8,15,3,2,0,1,2,1,1,0,19,2,4,mother,services,other,M,A,no
9,15,3,4,0,1,2,1,1,0,15,1,5,mother,other,other,M,T,no
10,15,4,4,0,1,2,1,2,0,9,3,3,mother,teacher,health,F,T,no
11,15,2,1,0,3,3,1,1,4,12,2,5,father,services,other,F,T,no
12,15,4,4,0,1,1,1,3,2,14,3,4,father,health,services,M,T,no
13,15,4,3,0,2,2,1,2,2,11,3,5,mother,teacher,other,M,T,no
14,15,2,2,0,1,3,1,1,0,16,2,4,other,other,other,M,A,yes
15,16,4,4,0,1,1,1,2,4,14,4,4,mother,health,other,F,T,no
16,16,4,4,0,1,3,1,2,6,14,3,3,mother,services,services,F,T,no
17,16,3,3,0,3,2,1,1,4,10,2,5,mother,other,other,F,T,no
18,17,3,2,3,1,1,2,4,16,5,5,5,mother,services,services,M,T,no
19,16,4,3,0,1,1,1,3,4,10,3,3,father,health,other,M,T,no
20,15,4,3,0,1,2,1,1,0,15,1,4,mother,teacher,other,M,T,no
21,15,4,4,0,1,1,1,1,0,15,2,5,father,health,health,M,T,no
22,16,4,2,0,1,2,1,3,2,16,1,4,mother,teacher,other,M,T,no
23,16,2,2,0,2,2,2,4,0,12,4,5,mother,other,other,M,T,no
24,15,2,4,0,1,3,1,1,2,8,2,4,mother,services,health,F,T,no
25,16,2,2,2,1,1,1,3,14,8,2,1,mother,services,services,F,T,no
26,15,2,2,0,1,1,1,2,2,11,2,4,mother,other,other,M,T,no
27,15,4,2,0,1,1,2,4,4,15,4,2,mother,health,services,M,T,no
28,16,3,4,0,1,2,1,1,4,11,3,5,mother,services,other,M,A,no
29,16,4,4,0,1,2,5,5,16,11,5,4,mother,teacher,teacher,M,T,yes
30,15,4,4,0,1,2,3,4,0,12,2,5,mother,health,services,M,T,no
31,15,4,4,0,2,2,1,1,0,17,1,4,mother,services,services,M,T,no
32,15,4,3,0,1,2,1,1,0,16,2,4,mother,teacher,at_home,M,T,yes
33,15,3,3,0,1,2,1,1,0,12,2,5,mother,other,other,M,T,no
34,16,3,2,0,1,1,1,1,0,15,3,5,mother,other,other,M,T,no
35,15,2,3,0,2,1,1,1,0,6,1,3,father,other,other,F,T,no
36,15,4,3,0,1,3,1,1,2,18,3,5,mother,teacher,services,M,T,no
37,16,4,4,0,2,3,1,1,7,15,3,2,mother,other,teacher,M,A,yes
38,15,3,4,0,1,3,1,1,2,11,2,4,mother,services,health,F,T,no
39,15,2,2,0,1,1,1,1,8,13,1,4,mother,at_home,other,F,T,no
40,16,2,2,1,2,2,1,2,25,11,3,3,mother,other,other,F,T,yes
41,15,4,4,0,1,1,2,4,8,12,3,5,other,teacher,other,M,T,yes
42,15,4,4,0,1,2,1,1,2,18,3,4,father,services,teacher,M,T,no
43,15,2,2,0,1,1,1,1,0,11,1,5,father,services,services,M,T,no
44,16,2,2,1,2,2,2,2,14,9,3,4,father,other,at_home,F,T,no
45,15,4,3,0,1,2,1,1,8,6,2,5,mother,other,other,F,A,yes
46,16,3,3,0,1,2,1,4,12,11,5,2,mother,other,services,F,A,no
47,16,4,3,0,1,4,1,1,4,20,2,4,mother,health,services,M,T,no
48,15,4,2,0,1,2,2,2,2,14,3,4,mother,teacher,other,M,T,no
49,15,4,4,1,1,2,1,1,2,7,4,4,father,services,teacher,F,T,no
50,16,2,2,0,3,2,2,3,2,13,3,4,mother,services,services,F,T,no
51,15,4,2,0,1,2,1,1,2,13,3,4,mother,health,other,F,T,no
52,15,4,2,1,2,1,3,4,6,10,5,5,father,health,health,M,A,no
53,15,4,4,0,1,1,2,3,0,11,4,3,mother,services,services,F,T,no
54,15,3,3,0,1,1,4,4,6,13,4,5,mother,other,other,F,A,no
55,16,2,1,0,1,2,1,1,8,10,4,5,mother,other,other,F,A,yes
56,15,4,3,0,1,2,1,1,0,15,2,4,mother,services,services,F,A,no
57,15,4,4,0,1,2,1,1,4,15,2,3,mother,teacher,health,M,T,no
58,15,1,2,0,1,2,1,1,2,9,2,4,father,other,at_home,M,T,no
59,16,4,2,0,1,2,1,1,2,16,3,4,mother,services,other,F,T,no
60,16,4,4,0,1,2,2,3,6,11,4,2,mother,health,teacher,F,T,no
61,16,1,1,0,4,1,5,5,6,11,5,5,father,services,services,F,T,yes
62,16,1,2,0,1,2,1,1,4,9,3,4,father,other,services,F,T,no
63,16,4,3,0,1,3,2,4,2,9,4,3,mother,teacher,health,F,T,no
64,15,4,3,0,1,2,2,4,0,10,4,4,father,services,services,F,T,yes
65,16,4,3,0,3,2,1,2,2,15,3,5,mother,teacher,services,F,T,no
66,15,4,4,0,1,4,5,5,4,12,3,1,mother,other,services,M,A,yes
67,16,3,1,0,1,4,1,2,4,6,3,4,mother,services,other,F,T,no
68,15,2,2,0,2,2,1,3,2,8,3,4,mother,health,services,F,T,no
69,15,3,1,0,2,4,2,3,12,16,2,4,father,other,other,F,T,no
70,16,3,1,0,2,4,1,1,0,15,2,4,father,other,other,M,T,no
71,15,4,2,0,1,4,1,1,0,10,3,3,mother,other,other,M,T,no
72,15,1,1,2,1,2,2,4,2,5,4,3,mother,other,other,F,T,yes
73,16,3,1,0,1,1,2,2,2,14,2,5,mother,other,other,M,T,no
74,16,3,3,0,1,2,2,4,54,11,3,4,mother,other,services,F,T,no
75,15,4,3,0,1,2,2,3,6,10,3,4,mother,teacher,other,M,T,no
76,15,4,0,0,2,4,1,1,8,10,3,3,mother,teacher,other,M,T,no
77,16,2,2,0,1,4,1,3,0,11,3,5,mother,other,other,F,T,yes
78,17,2,1,3,2,1,1,1,2,10,1,4,mother,other,other,M,T,no
79,16,3,4,0,1,2,1,2,12,5,3,2,mother,at_home,other,F,T,no
80,15,2,3,0,1,1,1,3,2,12,2,3,father,other,services,M,T,yes
81,15,2,3,0,1,3,1,2,4,11,2,5,mother,other,other,M,T,no
82,15,3,2,0,1,2,1,1,10,6,4,4,mother,services,other,F,T,no
83,15,2,2,0,2,2,1,3,4,15,3,5,mother,services,services,M,T,no
84,15,1,1,0,1,2,2,3,2,10,2,4,father,other,other,F,T,no
85,15,4,4,2,2,2,2,3,6,8,4,4,father,services,services,F,T,yes
86,16,2,2,0,1,2,1,2,4,6,4,4,mother,at_home,other,F,T,no
87,15,4,2,0,1,3,1,3,4,14,3,5,mother,other,other,F,T,no
88,16,2,2,1,2,2,1,1,12,10,2,4,father,services,other,M,T,no
89,16,4,4,0,1,2,3,5,18,7,3,4,mother,teacher,health,M,A,no
90,16,3,3,0,1,3,1,3,0,8,3,4,mother,other,other,F,T,yes
91,15,4,3,0,1,1,1,3,4,18,5,4,mother,services,other,F,T,no
92,16,3,1,0,1,2,2,3,4,6,3,3,father,other,other,F,T,no
93,16,4,2,0,2,2,1,1,0,10,3,5,mother,teacher,services,F,T,no
94,15,2,2,0,1,4,1,1,6,14,4,4,mother,services,health,M,T,no
95,15,1,1,1,2,4,1,1,2,10,2,3,mother,at_home,other,F,T,no
96,16,4,3,0,2,1,1,1,2,15,3,3,mother,services,other,M,T,no
97,16,2,1,0,1,2,1,1,2,10,5,4,mother,other,other,F,T,yes
98,16,4,4,0,1,1,1,2,6,14,4,5,mother,other,other,F,T,no
99,16,4,3,0,1,3,1,1,0,8,5,5,mother,other,at_home,F,T,no
100,16,4,4,0,1,1,5,5,14,5,5,4,mother,services,services,M,T,no
101,16,4,4,0,1,3,1,1,0,17,3,4,father,services,teacher,M,T,yes
102,15,4,4,0,1,1,1,1,4,14,3,5,mother,services,other,M,T,no
103,15,3,2,0,2,2,1,1,26,6,5,4,mother,services,other,F,T,no
104,15,3,4,0,1,2,1,1,0,18,4,5,mother,services,other,M,A,no
105,15,3,3,0,1,4,1,1,10,11,3,4,father,other,health,F,A,no
106,15,2,2,0,1,4,1,1,8,8,2,5,mother,other,other,F,T,no
107,16,3,3,0,1,3,1,1,2,18,3,5,father,services,other,M,T,no
108,15,4,4,0,4,4,3,5,6,13,5,1,father,other,other,M,T,yes
109,16,4,4,0,1,3,1,1,4,16,5,5,mother,health,health,F,T,yes
110,15,4,4,0,1,1,1,1,6,19,3,5,mother,teacher,teacher,M,A,no
111,16,3,3,1,1,3,1,1,0,10,2,4,father,services,other,F,T,no
112,16,2,2,1,1,2,1,1,6,13,2,3,mother,at_home,other,F,T,no
113,15,4,2,0,1,1,1,1,10,19,2,3,mother,teacher,other,M,T,no
114,15,2,1,0,1,2,1,1,8,9,2,5,mother,health,services,M,T,yes
115,16,4,4,0,1,2,1,2,2,16,4,5,father,teacher,teacher,M,T,no
116,15,4,4,0,2,2,1,1,2,14,3,4,father,other,teacher,M,T,no
117,16,3,3,0,2,1,1,1,0,13,2,5,father,other,services,M,T,no
118,17,1,3,1,3,2,1,4,20,8,4,5,father,other,other,M,T,no
119,15,3,4,0,1,1,1,2,6,13,3,3,father,other,other,M,T,no
120,15,1,2,0,1,2,1,2,2,15,3,3,mother,at_home,services,F,T,no
121,15,2,2,0,1,4,1,2,6,15,4,5,father,services,services,M,T,no
122,16,2,4,0,2,2,1,2,2,13,2,4,father,other,health,F,T,yes
123,16,4,4,0,1,1,1,4,18,13,4,3,mother,health,other,M,T,no
124,16,2,2,0,1,2,1,1,0,8,4,5,mother,other,other,F,T,yes
125,15,3,4,0,1,1,3,2,0,12,5,5,father,services,services,M,T,no
126,15,3,4,0,1,2,1,1,0,11,2,5,mother,other,other,F,A,yes
127,19,0,1,3,1,2,1,1,2,9,2,3,other,at_home,other,F,T,no
128,18,2,2,2,1,1,1,2,0,0,3,3,mother,services,other,M,T,no
129,16,4,4,0,1,1,2,5,8,18,5,3,mother,teacher,teacher,M,T,no
130,15,3,4,2,2,3,2,2,0,0,2,4,father,services,teacher,F,T,yes
131,15,1,1,0,3,1,1,2,0,0,3,4,mother,at_home,other,F,T,yes
132,17,2,2,0,1,1,1,3,12,12,4,3,father,other,other,F,T,yes
133,16,3,4,0,1,1,1,4,16,11,1,3,father,services,other,F,A,no
134,15,3,4,0,4,2,1,1,0,0,3,5,mother,at_home,teacher,M,T,yes
135,15,4,4,0,1,3,1,1,0,0,3,4,mother,services,at_home,F,T,yes
136,17,3,4,0,3,2,2,4,0,0,5,5,mother,at_home,other,M,T,no
137,16,3,3,2,2,1,1,1,0,0,2,4,other,other,other,F,A,yes
138,16,1,1,1,1,2,1,3,0,12,4,4,mother,services,other,M,T,yes
139,15,4,4,0,2,1,1,1,0,15,2,4,mother,teacher,teacher,F,T,no
140,15,4,3,0,2,4,1,1,0,0,2,2,father,teacher,services,M,T,no
141,16,2,2,2,2,1,2,2,8,9,3,2,father,services,services,M,T,no
142,15,4,4,0,1,3,1,1,2,11,2,4,mother,teacher,services,F,T,no
143,16,1,1,0,1,1,3,3,2,13,4,3,mother,at_home,at_home,F,T,no
144,17,2,1,3,1,1,1,2,0,0,5,5,mother,other,other,M,T,no
145,15,1,1,0,1,2,1,2,0,11,2,4,father,other,services,F,T,no
146,15,3,2,3,1,2,1,1,0,0,2,3,father,health,services,F,T,no
147,15,1,2,0,1,2,1,1,2,11,2,4,mother,at_home,other,F,T,no
148,16,4,4,0,1,1,2,1,0,0,2,3,mother,teacher,teacher,M,T,yes
149,15,2,1,3,4,1,2,5,0,10,5,4,mother,services,other,M,A,no
150,18,1,1,3,1,1,2,5,0,0,5,2,mother,other,other,M,T,yes
151,16,2,1,1,1,1,3,5,6,14,4,4,mother,at_home,other,M,T,yes
152,15,3,3,2,2,3,2,3,8,10,1,4,other,services,services,F,T,yes
153,19,3,2,3,1,1,1,1,0,0,4,4,mother,services,at_home,M,T,yes
154,17,4,4,0,1,1,1,1,0,12,1,4,mother,other,teacher,F,T,yes
155,15,2,3,0,1,2,1,1,2,8,4,4,mother,at_home,services,M,T,no
156,17,1,2,0,1,1,3,3,8,13,2,2,mother,other,other,M,T,no
157,18,1,1,3,3,1,1,5,6,10,5,5,mother,at_home,other,F,T,no
158,16,2,2,0,3,1,1,2,2,15,2,4,mother,at_home,other,M,T,no
159,16,3,3,1,1,2,4,4,4,12,5,4,father,other,services,M,T,yes
160,17,2,1,2,2,1,2,2,0,0,2,3,mother,at_home,other,M,T,yes
161,15,3,2,2,2,2,1,4,6,7,4,4,mother,other,other,M,T,yes
162,16,1,2,1,2,1,2,4,0,0,4,4,mother,other,other,M,T,no
163,17,1,3,0,1,1,1,4,2,10,3,5,father,at_home,services,M,T,no
164,17,1,1,3,4,2,1,5,0,7,5,5,mother,other,services,M,T,yes
165,16,3,2,1,2,1,1,1,16,12,2,4,mother,services,services,M,T,no
166,16,2,2,0,1,2,2,4,4,10,5,4,father,other,other,M,T,no
167,16,4,2,0,1,2,1,1,0,16,3,4,father,health,services,F,T,yes
168,16,2,2,0,1,2,1,1,0,0,5,5,mother,other,other,F,T,no
169,16,4,4,0,1,2,1,1,0,14,2,4,mother,health,health,F,T,yes
170,16,3,4,2,3,1,2,4,0,0,5,3,father,other,other,M,T,no
171,16,1,0,0,2,2,1,1,2,16,2,4,mother,other,other,M,T,yes
172,17,4,4,0,1,2,1,3,0,10,4,4,mother,teacher,other,M,T,no
173,16,1,3,3,1,2,1,1,0,0,5,4,mother,at_home,services,F,T,yes
174,16,3,3,0,2,2,1,1,4,9,5,4,mother,other,other,F,T,no
175,17,4,3,0,2,2,4,4,4,9,4,4,mother,teacher,other,M,T,no
176,16,2,2,0,2,2,1,4,2,11,4,3,mother,services,other,F,T,no
177,17,3,3,0,1,2,1,4,4,6,4,4,father,other,other,M,T,no
178,16,4,2,0,1,1,3,4,10,9,3,4,mother,teacher,services,M,T,yes
179,17,4,3,0,1,2,1,1,4,11,3,5,mother,other,other,M,T,yes
180,16,4,3,0,1,2,2,3,10,8,3,3,mother,teacher,other,M,T,no
181,16,3,3,0,1,2,1,2,2,12,3,4,mother,services,other,M,T,yes
182,17,2,4,0,1,2,2,3,0,17,2,5,father,services,services,F,T,no
183,17,3,3,0,1,2,2,3,56,8,3,5,mother,other,other,F,T,yes
184,16,3,2,0,1,2,1,2,14,12,2,1,mother,other,other,F,T,no
185,17,3,3,0,1,2,2,3,12,11,4,4,mother,services,services,M,T,yes
186,16,1,2,0,1,1,1,2,2,11,3,3,mother,services,services,M,T,yes
187,16,2,1,0,1,2,1,2,0,15,3,4,mother,other,other,M,T,yes
188,17,3,3,0,1,2,1,3,6,9,3,3,mother,health,other,F,A,yes
189,17,1,2,0,1,2,1,5,4,10,3,3,mother,at_home,other,M,T,no
190,16,2,3,0,1,2,1,1,10,13,3,4,mother,services,services,F,T,no
191,17,1,1,0,1,2,1,1,0,9,3,5,mother,at_home,services,F,T,no
192,17,1,2,0,2,2,4,5,12,8,4,4,other,at_home,services,M,T,no
193,16,3,3,0,1,1,3,4,8,10,2,4,mother,services,services,M,T,no
194,16,2,3,0,2,1,1,1,0,14,3,5,father,other,other,M,T,no
195,17,2,4,0,1,2,1,1,0,15,2,4,father,services,services,F,T,yes
196,17,4,4,0,1,1,1,2,4,16,3,5,mother,services,teacher,M,T,no
